mat-no,price-per-unit,pieces-per-pack,suggested-mat-no,name,url,summary,variants-info,thumbnail,thumbnail-2x,vector,size,variant,category,colour,subtitle
5158114,1440.00,1440,5158114,XILION Chaton,/XILION-Chaton-5158114/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/5158114-SWPMATERIAL-RVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w2Mzc1fGltYWdlL3BuZ3xpbWFnZXMvaGI5L2hhYS84OTA3Nzk3MDY5ODU0LnBuZ3wxMzkzNDg3OGMyMDY4NGU2MTdkNTNhZjZiYjAxZmI2NjQ4NWNhYjMwYTU4OWM2NzQ1OWU1MmE3MDk5NmI2MGRj,/medias/5158114-SWPMATERIAL-RVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyNTQwMnxpbWFnZS9wbmd8aW1hZ2VzL2gyMC9oMjkvODkwNzc5NzEzNTM5MC5wbmd8OTU0ZjcwYzZlNjhhMGMyYmZmZDZmMzU3OGVkM2ZjMzQ0MWQ1OTE1MWVlZjM0OWVmZjc0YWQ3MjA4N2IzMzBhMA,/medias/5158114-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g1Ni9oOWEvODkyMDMzMzM1Mjk5MC5zdmd8ZjYzNGFjODE2MmIwMzU4MDU1NzUzMDYwY2EzZTgzMGEzMTliY2JlYTI3MzExNzFmZDAyODUwZmZjYTg1ZmJmMA,1.25 mm PP 5,Dark Moss Green/Platinum-colored Pro Foiling,Round Stones,Dark Moss Green,XILION Chaton
1093120,1440.00,1440,1093120,XILION Chaton,/XILION-Chaton-1093120/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/1093120-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDMxN3xpbWFnZS9wbmd8aW1hZ2VzL2hjMC9oMWMvODkyNjg2NDM3NTgzOC5wbmd8NmFiOWM4NzQ3N2I0OWFjMGE2Y2NhMTVhYTUyZDg1ZWYzOGRhNTlmMjgxZmJiYTljYjQzMTIzYTg2OGU1MDViOQ,/medias/1093120-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyNTA1NHxpbWFnZS9wbmd8aW1hZ2VzL2gxOC9oYjcvODkyNjg2NDQ0MTM3NC5wbmd8OTI0NzU5NDFkMjA3YmEyNGNhNDRlOWEyMjc1YWUyYjk4NDZhYzk3M2YyZDMyZmNhZDYwMDFmZjEyODIyOWQwYQ,/medias/1093120-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gwYy9oOWIvODkxOTY3Njg3ODg3OC5zdmd8OGE2NDRiMDZmY2FiMTUxYTk3MTcyMDkyZmU0YzFlZDIzMDk1Njc5Y2MwMTUxZTliZjljZTY4MWY2YWQ0NjJlOA,1.45 mm PP 8,Dark Siam/Platinum-colored Pro Foiling,Round Stones,Dark Siam,XILION Chaton
668825,1440.00,1440,668775,XILION Chaton,/XILION-Chaton-668775/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/668775-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wyNDY5MXxpbWFnZS9wbmd8aW1hZ2VzL2hmMS9oZTIvODg3MDQyMTEwMjYyMi5wbmd8Y2IxN2YzOTliY2JkMzQ4MTgzMGRkMTUzZGVlODlkNGE1OTRhODFmMGM4Y2Q0MTY3MzczYjkxMzk0NDIyZDIwMg,/medias/668775-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w2ODk0NHxpbWFnZS9wbmd8aW1hZ2VzL2gwMi9oZDMvODg3MDQyMTIzMzY5NC5wbmd8NjgyODM1MmQ0ZDZlYjFhM2ZlMzZjYzY2NTMwNTJmMDg2MzU2YzU3NjhlNThiMTljODBlZjc0ZmY2Y2Q4ZGEwYQ,/medias/668775-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g2NS9oMTcvODkyMDY5NDg0OTU2Ni5zdmd8MDE4NWM4MGQyNGQxOGYzMzI4OTU4ZTA3OWE1NGNhYWMxZTgwMjQzZThlMzE5YWIyMGIyZTc4MmM1OGNjZThmYw,1.85 mm PP 12,Amethyst/Platinum-colored Pro Foiling,Round Stones,Amethyst,XILION Chaton
668827,1440.00,1440,668701,XILION Chaton,/XILION-Chaton-668701/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/668701-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w5NzQ2fGltYWdlL3BuZ3xpbWFnZXMvaDU2L2hmOC84ODI0MjAyMjk3Mzc0LnBuZ3wzZDJkZmRmODc0ZGRkMDE4YmUwNTE3NGM1MWExYzZlNGRjNWM5NTI2NjdlMGJkMDdkOTc0OWM3MTg3NDZjYzli,/medias/668701-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w3NDgwMHxpbWFnZS9wbmd8aW1hZ2VzL2g4Yi9oMWMvODgyNDIwMzM3ODcxOC5wbmd8Zjg5NzdhOTg1OTk2MDE2MDBhM2IyMzkwNDY2MzI5MjAyZjk4MGMzMmE0MzEyYjEyYTZkMzFhZWViZTFmYjJjYQ,/medias/668701-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g4OS9oZTYvODkyMDY5MDM5MzExOC5zdmd8MjE0NjAyMjdjNTFkZGYwYTQ0ZWMyMjY3YTQ2NTk4ZGZlYTExMmYxMTQ1YmM3OGI3YmEyOGVmOTE4MDQwMGVkNg,1.55 mm PP 9,Black Diamond/Platinum-colored Pro Foiling,Round Stones,Black Diamond,XILION Chaton
669843,1440.00,1440,669850,XILION Chaton,/XILION-Chaton-669850/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669850-SWPMATERIAL-RVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w0NjI2fGltYWdlL3BuZ3xpbWFnZXMvaGNiL2g5OC84OTA4NTAyMDczMzc0LnBuZ3w4YjA0ZGQxM2UzMjAzMGJhMjc4NGRhMzAwZGYwZWIzZTk4NzI1YjQ4ZGIzOTQyNGJhMWY1NWM3ZDYxODI0YjYy,/medias/669850-SWPMATERIAL-RVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMDI0M3xpbWFnZS9wbmd8aW1hZ2VzL2hlNy9oNTMvODkwODUwMjEzODkxMC5wbmd8NTRmMjM0NGY0ZGVlYmNkMWEyOGNhM2YyNzBjNzg4OTQ3N2NhNjlmZWFhNjYzMGRhYzRiYzRkODY1MmQxMjQzMA,/medias/669850-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gzOC9oN2UvODkyMDcwODQ4MTA1NC5zdmd8YWU2Mzg0OWZhNmZkYTk4ZTQ0NWM1NDBiYWI2YTM5NTM1YzYwYWZjYWZkMWQzNWVjYWU1ZTUzYzEwZmQ0MTI3Mg,2.75 mm PP 21,Burgundy/Platinum-colored Pro Foiling,Round Stones,Burgundy,XILION Chaton
866243,1440.00,1440,866243,XILION Chaton,/XILION-Chaton-866243/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/866243-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDI5NXxpbWFnZS9wbmd8aW1hZ2VzL2hiZS9oMDgvODkyOTQwMzM3MTU1MC5wbmd8YzlkOWI4N2Q4MDM4NTA1MjE4Mzk2NjIwZGEwMDIzM2Q3YjJlZGJmMDM5NGY1YTNiOTMxMTM5MzYxZjRhYzIxMg,/medias/866243-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyNjE4NXxpbWFnZS9wbmd8aW1hZ2VzL2gyNi9oMTYvODkyOTQwMzQzNzA4Ni5wbmd8MjVhYzA4MjE2OTZkMjU2YzYzY2ZjYTViOWViZTA4MWM2MWFjM2ZlMmI3OGU3YmI5NWRiNTJjNzUwOTRlOWE2Ng,/medias/866243-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hkMy9oM2UvODkyMDc1ODk0Mzc3NC5zdmd8M2E0NDdlOGFkYzk4YTk1ZTJiZGFhNzRjODY5Y2E1MDBmNzg5ZGUxMzMzM2QxMzJmNGVmMmUyMTdlZTdiNjVkZg,2.05 mm PP 14,Caribbean Blue Opal/Platinum-colored Pro Foiling,Round Stones,Caribbean Blue Opal,XILION Chaton
1073344,1440.00,1440,1103280,XILION Chaton,/XILION-Chaton-1103280/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/1103280-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDExN3xpbWFnZS9wbmd8aW1hZ2VzL2gyMi9oYzgvODkyNjg4NTY0MjI3MC5wbmd8MjJhY2Y5MjdiNmE4ZjM1NGE3N2NlNTE2NmE0ODkwMjIzNjJjYjdhZTlkYTBlMTcxN2RjZjdkNTYzOTIzNjQ0MA,/medias/1103280-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyNDY5NHxpbWFnZS9wbmd8aW1hZ2VzL2hlZC9oODAvODkyNjg4NTcwNzgwNi5wbmd8NjdmMmY2NDZiOTc0NWM0Y2FmODIzNGU1ODI5NDk4ZTc2NDc3NzA4ODNlNjA0ZDliZmIyMGM1OTBkOGUwMDdhYg,/medias/1103280-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g4YS9oNTIvODkxOTY4MzY5NDYyMi5zdmd8OGQxMjJjNGM2NDMxNjI1NDk3NWFiN2VjY2VhMzA3MTNjYjdkZjAzNTcxYWNkMzQ2MzQ4MjFiNTBlNWQzMDNiOQ,1.95 mm PP 13,Chrysolite Opal/Platinum-colored Pro Foiling,Round Stones,Chrysolite Opal,XILION Chaton
669728,1440.00,1440,5108591,XILION Chaton,/XILION-Chaton-5108591/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/5108591-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w5NjQ3fGltYWdlL3BuZ3xpbWFnZXMvaGNkL2hhYi84ODIxMTM0MDY1Njk0LnBuZ3wxYjc2M2QwZGEzMWU3ZDNlNzA3MWE0NWJmY2Q5NmQ5MmEzZTY0NWFmNzE1OWJhOGRiYWM5MGFlNWE0OWM1ZDNj,/medias/5108591-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMDI5MzN8aW1hZ2UvcG5nfGltYWdlcy9oMmYvaGVlLzg4MjExMzUyNzgxMTAucG5nfDA5OTVhYWNiZjE4ZmU5ODRjYzZlMzEzNDI0MjU0OGY3ODA3M2VhNGZjOWVlZDE2NjY3N2E0ZDA2NjM4M2M2ZjA,/medias/5108591-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNzA4fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g2NS9oMjEvODkyMDE5NTg1ODQ2Mi5zdmd8YWI3NWYxNTEwMTFjNjAzZGY0NmZiYjdjMGE4NzBhODgwOGMyMDc1ZDllMTliNWM2NWYxOWY5Y2Y5NWNlOWRiNQ,1.05 mm PP 3,Chrysolite/Platinum-colored Pro Foiling,Round Stones,Chrysolite,XILION Chaton
1089739,1440.00,1440,1089730,XILION Chaton,/XILION-Chaton-1089730/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/1089730-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDEyOHxpbWFnZS9wbmd8aW1hZ2VzL2g0Yi9oMTQvODgxNjQ1MDU2ODIyMi5wbmd8Yjg2NjY1MDQzZTYyMjlkZjBhNTZlOTUyZmFlNDRlZDEzZjU5YjBmOTk0NWM0MDM5NDRkZDMzYTIyZjUwZTlhYw,/medias/1089730-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyOTg0NHxpbWFnZS9wbmd8aW1hZ2VzL2g0MC9oOGIvODgxNjQ1MTkxMTcxMC5wbmd8YTA4MDI5OGZiNDliOWFjMWI4ODIyYmRkZjMxZmEwMmMyZWMyOWY2Y2M3YjAzODY2YTM1OWIxN2Q4MmM0OTlhZQ,/medias/1089730-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hkOS9oYTgvODkxOTY2OTgwMDk5MC5zdmd8YjFlYzI0YjgxNDdlYTE2M2Q1OWM0ZjZiZjMwN2NjMGU0OTZkMmQ4OGIyMmVhNzdhZGUxZWMxMTdiYmEyNzgzZg,1.55 mm PP 9,Crystal Silver Night/Platinum-colored Pro Foiling,Round Stones,Crystal Silver Night,XILION Chaton
914494,1440.00,1440,914492,XILION Chaton,/XILION-Chaton-914492/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/914492-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w2NTIyfGltYWdlL3BuZ3xpbWFnZXMvaDZlL2hjMS84OTc2NDM4Njg5ODIyLnBuZ3xhMDE5ZWUxYWI5MDliNWQ4YTdjMzIzNDE2YzA0YWIxMzBkYTAxYjdmYjRmMzdkZWQ2YzFmNGNhNjllNmM2MWQx,/medias/914492-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxOTk2OXxpbWFnZS9wbmd8aW1hZ2VzL2hhNi9oNjkvODk3NjQzODgyMDg5NC5wbmd8ZWM2ZDc1MzI0YTYyMzc1MzMyZDdhZDQyZmEzNzhkNzBlODk3N2RiZjAyYTVhZDhiMDA4YTBhNTEwZTMxMTVjMQ,/medias/914492-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gwZC9oYmQvODk3NjQzOTMxMjQxNC5zdmd8YmM4NjJlMDIyODVlN2Q2M2NmMDhlMmQ4MmY3NGViMzkyMmRjMzA5ZmEyYzNhMzg3MTM5MGZhZWM3MTdkZjhmMA,1.38 mm PP 7,Cyclamen Opal/Platinum-colored Pro Foiling,Round Stones,Cyclamen Opal,XILION Chaton
1162733,1440.00,1440,1162730,XILION Chaton,/XILION-Chaton-1162730/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/1162730-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDI5NHxpbWFnZS9wbmd8aW1hZ2VzL2hhOS9oOWIvODgxNzQ0NTc2NTE1MC5wbmd8Y2Y4NGFkZTg5MzgzOWQyMTc2YmUwNjEyNmQ2OTMwYzMxNDc3NDBjYmQxZjA3MzJlNzBiOWMzMjgwMmI1MTEyMw,/medias/1162730-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyODY2MHxpbWFnZS9wbmd8aW1hZ2VzL2hlYi9oMDkvODgxNzQ0Njk3NzU2Ni5wbmd8NTI1ZTQ2ZTAyMDZhYTA5OWVmODI4YTNhN2YxN2YwZTYxNzBjOTM1MGUwNDJhYTFlNWNjY2E0Y2U0MDA4YzA2OQ,/medias/1162730-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g2Ni9oZTEvODkxOTgwMDgwNzQ1NC5zdmd8YTVjZDFhZDgzMTFkYjZmYmY3M2I0ZTk0N2FkNGM5YTk2MzJmYTAzMzk1MmE1ZTQ3YjIwOTZlMWI0YjAzMTZlMQ,1.65 mm PP 10,Light Turquoise/Platinum-colored Pro Foiling,Round Stones,Light Turquoise,XILION Chaton
668842,1440.00,1440,669649,XILION Chaton,/XILION-Chaton-669649/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669649-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDA2N3xpbWFnZS9wbmd8aW1hZ2VzL2gyNS9oNDIvODgyNDI4MDMxNzk4Mi5wbmd8MGQxZTVkYWU2NThjZjEyYjlhMDE3YWFkN2ZlMzUyZjY4MTc1MWYwMWZhOTExNGRhZWMxNWUyNTdkNDc5MDk1Yw,/medias/669649-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMDEzNjF8aW1hZ2UvcG5nfGltYWdlcy9oZGEvaDAyLzg4MjQyODE2NjE0NzAucG5nfDM5YWY5ZmU3Mzc3ZjU1YjM3OWRhNjE4MmRkOGI2YTYzMjc1ZGUwYTEyOWM0YjQ3N2YyMjgwOTI2ODM1OTcxZjU,/medias/669649-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hjZC9oZjAvODkyMDcwMzE3MjYzOC5zdmd8ODE0MWI4NTUxMmI2ZDUwYmY1NjAwYTY3Y2FlNDJiY2NhMjFhNjUwNGJiOTJjMzUyMzdkZjRhZWE3Y2QzNzAwNw,1.33 mm PP 6,Peridot/Platinum-colored Pro Foiling,Round Stones,Peridot,XILION Chaton
668844,1440.00,1440,668719,XILION Chaton,/XILION-Chaton-668719/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/668719-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w5ODY4fGltYWdlL3BuZ3xpbWFnZXMvaGEyL2gxMC84ODI0MjEyNDIyNjg2LnBuZ3wzZDZkNDM4ZTBjNjJkMjdkOWNkYmI0NGQ0NDRmZDRkYjU0YjhiYzI5ZGI5Njg3OTMxNTE4ZGZjM2MzYTU5N2Nk,/medias/668719-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w5NDA1NHxpbWFnZS9wbmd8aW1hZ2VzL2g3MC9oZDEvODgyNDIxMzcwMDYzOC5wbmd8YzY0OThmMTg3MTEzMzQ5M2FhZDlmMTAyMTM5MjBkYjE3N2EzMzM3MjQwOTJkNjdlNDBjMWNiMWFmZGE2OWI5MA,/medias/668719-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hjYy9oODAvODkyMDY5MTU3Mjc2Ni5zdmd8MWVlYThjMmRlMGY4ZGEzNWQ4Y2E4YTM3N2M4NDE5YmVkYTFmNzQxMjdmYjA3MTI1YTYzMjIyOGI4ZGI2MmZkMQ,1.55 mm PP 9,Ruby/Platinum-colored Pro Foiling,Round Stones,Ruby,XILION Chaton
668846,1440.00,1440,669265,XILION Chaton,/XILION-Chaton-669265/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669265-SWPMATERIAL-RVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w1MDg3fGltYWdlL3BuZ3xpbWFnZXMvaDc0L2hmZS84OTA4NDg4MjEyNTEwLnBuZ3w4OTE0YjcxMjFlNDA1ZGY3ZmNjNDJhYWQ1YThjYjAxN2I3N2JiOTZmNzRlNjQwMjViNjZlMGY1Njc3Yjg1NWI2,/medias/669265-SWPMATERIAL-RVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMzIzOHxpbWFnZS9wbmd8aW1hZ2VzL2gyMC9oY2EvODkwODQ4ODI3ODA0Ni5wbmd8ZmY1NTk5Mzg5NDQ5YzdiMDY5YjhlZGMxNGQ0Y2I4ZWU4YWEyZmViMGUwMjJkNWNiYTVjMWY2NmU0Y2RmMzAxMw,/medias/669265-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g5My9oN2YvODkyMDcwMTA3NTQ4Ni5zdmd8YzExMzNlNjJmYzMwOGIzYTEwZjVmNWZjNDQ3Yjg0MGNiNzA0MzIwMjcyNzEwZWVmNTAyZjJlNzgzNzhjZDZjYQ,3.90 mm PP 31,Siam/Platinum-colored Pro Foiling,Round Stones,Siam,XILION Chaton
669756,1440.00,1440,669925,XILION Chaton,/XILION-Chaton-669925/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669925-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDM0MnxpbWFnZS9wbmd8aW1hZ2VzL2gxZS9oZDEvODgyNDMzNTMwMjY4Ni5wbmd8NWY2OWRhNzdiNTVhYTJkNTc4OTg5ZjJlZjYxNzg5ZjdiM2U0NWVlYTRhOWRkOTkyOWY2NjRhMzcyMTAxMWIxNw,/medias/669925-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMDQ1MjR8aW1hZ2UvcG5nfGltYWdlcy9oZTEvaDVhLzg4MjQzMzYzNTEyNjIucG5nfDlhZDFjMzVjZjViMDE3ZTBhZDdmZGVjM2EyN2Q3N2Q5ZjM4YTJjMTEyODA1YzY5NzZlYmY1OTVhNmM0NDE5N2I,/medias/669925-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g1MS9oOGEvODkyMDcwOTc5MTc3NC5zdmd8YThmY2E2MTczZmU5NzczNTRhOGFlZGY5NDVhNmM0ODZmZWUxYjg5Y2E4NGE4M2I2NWQxODRiMGZkMDNiNjg4Nw,1.55 mm PP 9,Smoky Quartz/Platinum-colored Pro Foiling,Round Stones,Smoky Quartz,XILION Chaton
668873,1440.00,1440,668775,XILION Chaton,/XILION-Chaton-668775/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/668775-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wyNDY5MXxpbWFnZS9wbmd8aW1hZ2VzL2hmMS9oZTIvODg3MDQyMTEwMjYyMi5wbmd8Y2IxN2YzOTliY2JkMzQ4MTgzMGRkMTUzZGVlODlkNGE1OTRhODFmMGM4Y2Q0MTY3MzczYjkxMzk0NDIyZDIwMg,/medias/668775-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w2ODk0NHxpbWFnZS9wbmd8aW1hZ2VzL2gwMi9oZDMvODg3MDQyMTIzMzY5NC5wbmd8NjgyODM1MmQ0ZDZlYjFhM2ZlMzZjYzY2NTMwNTJmMDg2MzU2YzU3NjhlNThiMTljODBlZjc0ZmY2Y2Q4ZGEwYQ,/medias/668775-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g2NS9oMTcvODkyMDY5NDg0OTU2Ni5zdmd8MDE4NWM4MGQyNGQxOGYzMzI4OTU4ZTA3OWE1NGNhYWMxZTgwMjQzZThlMzE5YWIyMGIyZTc4MmM1OGNjZThmYw,1.85 mm PP 12,Amethyst/Platinum-colored Pro Foiling,Round Stones,Amethyst,XILION Chaton
668883,1440.00,1440,5108569,XILION Chaton,/XILION-Chaton-5108569/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/5108569-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w1MTUwfGltYWdlL3BuZ3xpbWFnZXMvaDhiL2gxNC84ODIxMTE5Nzc4ODQ2LnBuZ3wyNGMwMDgzY2ViZTI4MTUwYzIwNzBhMWY2ZTAxYjY0MmUyOGZmY2EyMmRkNDg2OTkzMzgxNjg5YTcwODI2ZmMz,/medias/5108569-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w1ODYzMXxpbWFnZS9wbmd8aW1hZ2VzL2hkNS9oNTAvODgyMTEyMTE1NTEwMi5wbmd8ZTc5NTcyNzdiYWFmZjYxMzYxZTEyMzhjZmM1Y2M2ZjUxNzI2Yjc4NDRmNDRmNzcwNzAxOTcxZGNjZmM4MTA4YQ,/medias/5108569-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNzA4fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hlZi9oYzUvODkyMDE5NDQ4MjIwNi5zdmd8OWU4Zjc3YThlNjE4NTNhYzQ4Y2Q1YjE0NzIzNjUyODRmMDIzNjQzM2MwNjM5ODM0MzRmNGZjZmI3MDFmZGJiMQ,1.05 mm PP 3,Jet/Platinum-colored Pro Foiling,Round Stones,Jet,XILION Chaton
668886,1440.00,1440,669131,XILION Chaton,/XILION-Chaton-669131/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669131-SWPMATERIAL-RVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w2NzA0fGltYWdlL3BuZ3xpbWFnZXMvaGZkL2gzNC84OTA4NDg3MTYzOTM0LnBuZ3w0ODJjYTMwMjBkMTY4YTFmODE2NWFlZGZjZTdiNTg5MGM1MGYyYzZjMjdlODNlMTJjODk4OGZmYTQ2NjE3ZTYx,/medias/669131-SWPMATERIAL-RVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxNjI2MHxpbWFnZS9wbmd8aW1hZ2VzL2gzMi9oNTYvODkwODQ4NzIyOTQ3MC5wbmd8NTQwNTk2N2Q0ZTI5Zjk2YTM0MDQ3ZDVmNDA2OTk5NzEwYmQ1YjI2MTJmN2M5OTg4MTQ2NTVlZjAwOGM1ZDhhNQ,/medias/669131-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hjOS9oMTYvODkyMDcwMDU1MTE5OC5zdmd8ODdkYTkxNzE1MDllYzg2MzMyMWIwZWVkODI2MGE0Yzc5OWIzZGI4NTUzMWQwODEzM2M3ZmQ2ZWU1ODNmYjVkZQ,3.35 mm PP 26,Light Colorado Topaz/Platinum-colored Pro Foiling,Round Stones,Light Colorado Topaz,XILION Chaton
668887,1440.00,1440,668713,XILION Chaton,/XILION-Chaton-668713/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/668713-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w5NzA3fGltYWdlL3BuZ3xpbWFnZXMvaDg3L2hlOS84ODI0MjA5MTc4NjU0LnBuZ3wzMGNiNDY4ZjlkNThiODhhOThmMjM4NzdhOTBmNmY1NTdkYjNmODlhM2Q1NDQ3YjEyNWRkMDEyMGJkYjc5MDIz,/medias/668713-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w5MzMzM3xpbWFnZS9wbmd8aW1hZ2VzL2g1Yi9oNDkvODgyNDIxMDI5Mjc2Ni5wbmd8MjZjMDlmMGZiMTg5ZTY1NjZkNmE2MWFlMTRjMGQyMWU0MGE2MzQzOWJjYmJiYTI2MTJjMjI0YmU2NTgxNGQ5Mw,/medias/668713-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g4ZC9oYjMvODkyMDY5MTE3OTU1MC5zdmd8N2E5MTBlZmJmZTFkZDEyMjRiMTc5MGViMjhhNTg2YzM3YWY1MGVkZmExNTgyMjE3NjdmMTEyMzEwYjNkOWVmZg,1.55 mm PP 9,Light Rose/Platinum-colored Pro Foiling,Round Stones,Light Rose,XILION Chaton
